Symbol,Series,Prev. Close,LTP,%change,Upper Band,Volume,Value
MADHURKNIT,SM,46.9,51.55,   9.91,10,2.58,1.278648
ALKALI,EQ,73.05,87.66,  20.00,20,1.31957,1.110286198
ASTAR,EQ,672.8,807.35,  20.00,20,0.13579,1.090651701
AKANKSHA,SM,133.0,139.65,   5.00,5,0.72,0.996264
OPTIVALUE,ST,183.95,193.1,   4.97,5,0.512,0.9791488
FASCINATE,SM,45.6,47.85,   4.93,5,2.016,0.935424
NURECA,BE,332.35,348,   4.71,5,0.25396,0.8814443679999999
MANUGRAPH,EQ,15.19,17.73,  16.72,20,4.85905,0.86879814
ROLLT,BE,5.44,5.71,   4.96,5,14.98201,0.841988962
BI,BE,102.5,107.62,   5.00,5,0.75195,0.808271055
METALIC,ST,136.85,143.65,   4.97,5,0.56,0.800632
UNIVASTU,BE,145.01,152.26,   5.00,5,0.50294,0.76572615
APTECHT,BE,87.67,92.05,   5.00,5,0.8247,0.7485801900000001
SILKFLEX,SM,267.0,280.35,   5.00,5,0.23,0.637238
SHIVAMAUTO,EQ,16.19,19.42,  19.95,20,2.91779,0.561091017
SHEKHAWATI,BE,21.02,21.85,   3.95,5,2.54163,0.552550362
ABH,SM,39.8,43.75,   9.92,10,1.224,0.5166504
HVAX,SM,674.15,701,   3.98,5,0.072,0.5061024
LANCORHOL,BE,35.2,36.75,   4.40,5,1.34664,0.49623684
VARDHACRLC,BE,43.14,44.5,   3.15,5,1.07492,0.482746572
PKTEA,BE,920.5,966.5,   5.00,5,0.05127,0.480312741
DIGISPICE,EQ,16.28,17,   4.42,5,2.81039,0.47242655899999997
KLL,SM,27.05,32.35,  19.59,20,1.512,0.467208
APEXECO,ST,250.0,262.5,   5.00,5,0.176,0.4588672
KEN,SM,41.8,44,   5.26,20,0.972,0.457812
KAYA,BE,324.8,341,   4.99,5,0.13462,0.456779122
ABINFRA,BE,11.02,11.57,   4.99,5,3.93137,0.45053500199999996
FONEBOX,SM,125.95,132.2,   4.96,5,0.33,0.436227
GOLDSTAR,SM,9.0,9.45,   5.00,5,4.275,0.40356
GATECH,BE,0.7,0.73,   4.29,5,51.56444,0.37642041200000004
MCLEODRUSS,EQ,42.22,44.33,   5.00,5,0.84465,0.369196515
EPWINDIA,ST,240.0,243,   1.25,5,0.144,0.3586752
TEAMTECH,ST,125.65,131.9,   4.97,5,0.24,0.313512
LAKSHYA,SM,84.8,93.25,   9.96,10,0.344,0.3123864
GCHOTELS,ST,109.6,115.05,   4.97,5,0.258,0.2958228
DYNAMIC,ST,139.9,139.8,  -0.07,5,0.2,0.28962
AMEYA,SM,135.8,142.55,   4.97,5,0.2,0.28036
TECHNVISN,EQ,4144.0,4350,   4.97,5,0.00667,0.27696974900000004
IEML,ST,41.35,42.55,   2.90,5,0.655,0.275755
HPTL,SM,413.4,433,   4.74,5,0.06,0.26034
WOMANCART,ST,101.0,106.05,   5.00,5,0.232,0.2447832
BHADORA,ST,117.7,122.9,   4.42,5,0.192,0.2314944
SHREEDHAR,ST,153.35,161,   4.99,5,0.14,0.22505
AKSHARCHEM,BE,373.5,392.15,   4.99,5,0.05797,0.225033743
EVERESTIND,BE,400.0,415,   3.75,5,0.05195,0.21204431499999998
BURNPUR,BE,17.5,17.3,  -1.14,5,1.16999,0.20966220800000002
REFRACTORY,SM,30.2,31.65,   4.80,5,0.61,0.193126
LPDC,EQ,6.1,7.06,  15.74,20,2.66154,0.182847798
NIMBSPROJ,EQ,183.73,192.9,   4.99,5,0.07495,0.143132015
MONEYBOXX,EQ,51.9,54.49,   4.99,5,0.24084,0.131233716
CAPTRUST,BE,18.48,19.16,   3.68,5,0.61535,0.118947155
DIGJAMLMTD,BE,58.67,61.6,   4.99,5,0.18518,0.11034876200000002
